movie_name,year,imdb_rating,genres,director,cast
Frozen Sky,2015,6.1,"Romance, Thriller",Ava DuVernay,"Natalie Portman, Jennifer Lawrence, Viola Davis"
Ancient Odyssey of the Stars,2007,5.4,"Crime, Drama",Kathryn Bigelow,"Keanu Reeves, Benedict Cumberbatch, Margot Robbie"
Radiant Season,2008,5.6,"Action, Fantasy",Sam Mendes,"Samuel L. Jackson, Chris Hemsworth, Amy Adams"
Velvet Fortress,2022,8.7,"Animation, Comedy, Crime",Sofia Coppola,"Chris Hemsworth, Jennifer Lawrence, Timothee Chalamet"
Storm Fortress,2006,8.2,"Horror, Sci-Fi",Edgar Wright,"Benedict Cumberbatch, Margot Robbie, Morgan Freeman"
Scarlet Kingdom of Tomorrow,1996,9.2,Mystery,Steven Spielberg,"Sandra Bullock, Samuel L. Jackson, Emma Stone"
Last Empire of the Stars,1999,7.0,Thriller,Ridley Scott,"Leonardo DiCaprio, Natalie Portman, Zendaya"
Last Cipher,2024,5.1,"Action, Horror, Sci-Fi",Christopher Nolan,"Florence Pugh, Ryan Gosling, Leonardo DiCaprio"
Iron Night,1986,7.7,"Adventure, Animation, Sci-Fi",Kathryn Bigelow,"Tom Hanks, Chris Hemsworth, Natalie Portman"
Velvet Trial Returns,2008,8.6,"Comedy, Horror, Romance",Ava DuVernay,"Chris Hemsworth, Johnny Depp, Gal Gadot"
Golden Journey Unbound,2020,8.7,"Action, Sci-Fi, Thriller",Ava DuVernay,"Morgan Freeman, Emma Stone, Benedict Cumberbatch"
Lonely Orbit,1991,8.9,Comedy,James Cameron,"Keanu Reeves, Samuel L. Jackson, Jake Gyllenhaal"
Radiant Machine of the Stars,2002,5.6,Animation,Sofia Coppola,"Leonardo DiCaprio, Natalie Portman, Timothee Chalamet"
Final Legacy Awakens,2021,8.5,"Drama, Mystery, Sci-Fi",Patty Jenkins,"Jessica Chastain, Amy Adams, Tom Hanks"
Golden Pulse,2007,6.5,Adventure,Bong Joon-ho,"Chris Hemsworth, Sandra Bullock, Emma Stone"
Hollow Awakening Beyond,1986,6.9,"Horror, Thriller",David Fincher,"Christian Bale, Florence Pugh, Jennifer Lawrence"
Restless Labyrinth Forever,2000,8.4,Adventure,Peter Jackson,"Tom Hanks, Jennifer Lawrence, Jake Gyllenhaal"
Rising Labyrinth Returns,1985,5.4,"Drama, Horror",Guillermo del Toro,"Robert Downey Jr., Scarlett Johansson, Tom Hanks"
Blue Island,2017,7.6,"Action, Adventure, Thriller",Guy Ritchie,"Florence Pugh, Emma Stone, Oscar Isaac"
Ancient Labyrinth Unbound,1990,5.6,"Mystery, Romance",Denis Villeneuve,"Gal Gadot, Jennifer Lawrence, Morgan Freeman"
Shattered Machine,1989,5.3,"Crime, Fantasy",Bong Joon-ho,"Johnny Depp, Benedict Cumberbatch, Matt Damon"
Velvet Hunter,2016,6.5,"Adventure, Horror",Ridley Scott,"Johnny Depp, Leonardo DiCaprio, Jennifer Lawrence"
Hollow Labyrinth,2006,9.2,"Drama, Fantasy, Romance",Ridley Scott,"Johnny Depp, Anne Hathaway, Oscar Isaac"
Frozen Garden Beyond,2003,6.7,"Comedy, Drama, Romance",Patty Jenkins,"Robert Downey Jr., Sandra Bullock, Matt Damon"
Lost Orbit Reborn,2020,8.5,Thriller,Taika Waititi,"Jake Gyllenhaal, Natalie Portman, Margot Robbie"
Dark Frontier,1993,8.5,"Comedy, Crime",Rian Johnson,"Tom Hanks, Jake Gyllenhaal, Ryan Gosling"
Dark Island,2015,8.1,"Fantasy, Mystery, Thriller",Chloe Zhao,"Brad Pitt, Matt Damon, Christian Bale"
Neon Awakening,1990,7.8,Comedy,Rian Johnson,"Gal Gadot, Christian Bale, Morgan Freeman"
Hidden Orbit,2010,7.2,"Adventure, Fantasy",Christopher Nolan,"Scarlett Johansson, Robert Downey Jr., Chris Hemsworth"
Glass Fortress,2021,7.6,"Drama, Horror",Patty Jenkins,"Margot Robbie, Jessica Chastain, Gal Gadot"
Dust Game,2015,8.7,Crime,Bong Joon-ho,"Viola Davis, Emma Stone, Scarlett Johansson"
Rising Trial of Shadows,1998,6.4,"Adventure, Drama, Horror",Taika Waititi,"Amy Adams, Jake Gyllenhaal, Margot Robbie"
Shattered Journey,1992,5.7,Drama,Jordan Peele,"Scarlett Johansson, Gal Gadot, Matt Damon"
Midnight Memory Beyond,2020,6.9,"Comedy, Fantasy, Horror",Jordan Peele,"Morgan Freeman, Michael B. Jordan, Gal Gadot"
Broken Cipher,2013,8.6,"Action, Comedy, Fantasy",James Cameron,"Robert Downey Jr., Jessica Chastain, Jake Gyllenhaal"
Dark Orbit at Dawn,1996,8.8,"Comedy, Drama",Taika Waititi,"Scarlett Johansson, Robert Downey Jr., Gal Gadot"
Glass Season,2024,5.8,"Adventure, Drama, Romance",Guy Ritchie,"Samuel L. Jackson, Margot Robbie, Oscar Isaac"
Shattered Cipher,1993,8.1,"Adventure, Comedy",Greta Gerwig,"Scarlett Johansson, Morgan Freeman, Christian Bale"
Dust Labyrinth in Exile,2009,7.4,"Animation, Horror, Mystery",Ava DuVernay,"Viola Davis, Michael B. Jordan, Morgan Freeman"
Storm Odyssey Zero,2013,8.6,Drama,Christopher Nolan,"Benedict Cumberbatch, Tom Hanks, Natalie Portman"
Forgotten Pulse,2011,8.5,"Fantasy, Horror, Sci-Fi",Denis Villeneuve,"Emma Stone, Timothee Chalamet, Leonardo DiCaprio"
Eternal Odyssey at Dawn,2003,7.2,"Horror, Romance",Edgar Wright,"Jessica Chastain, Benedict Cumberbatch, Florence Pugh"
Royal Sky Zero,2008,5.5,Thriller,Taika Waititi,"Florence Pugh, Natalie Portman, Ryan Gosling"
Midnight Promise,1987,8.6,"Adventure, Crime, Drama",Taika Waititi,"Samuel L. Jackson, Scarlett Johansson, Jessica Chastain"
Secret Destiny,2024,5.3,"Animation, Romance, Thriller",James Cameron,"Sandra Bullock, Natalie Portman, Matt Damon"
Scarlet Night Reborn,2005,8.0,"Crime, Romance",Peter Jackson,"Samuel L. Jackson, Zendaya, Keanu Reeves"
Crimson Heart,2011,5.6,Crime,Jordan Peele,"Tom Hanks, Jake Gyllenhaal, Samuel L. Jackson"
Rising Season,2010,5.3,"Animation, Crime, Romance",Jordan Peele,"Ryan Gosling, Jennifer Lawrence, Margot Robbie"
Golden Voyage,2002,8.4,"Horror, Thriller",Sofia Coppola,"Timothee Chalamet, Leonardo DiCaprio, Samuel L. Jackson"
Golden Witness,2007,5.9,Mystery,Patty Jenkins,"Natalie Portman, Ryan Gosling, Sandra Bullock"
Iron Season,2006,5.2,"Horror, Romance",Sofia Coppola,"Keanu Reeves, Gal Gadot, Jessica Chastain"
Crimson Witness Zero,1995,8.9,"Action, Fantasy, Horror",James Cameron,"Jake Gyllenhaal, Viola Davis, Tom Hanks"
Shattered Kingdom,2002,7.9,Sci-Fi,Guy Ritchie,"Robert Downey Jr., Emma Stone, Christian Bale"
Shadow Code of Fire,1999,5.6,"Adventure, Sci-Fi, Thriller",Christopher Nolan,"Natalie Portman, Benedict Cumberbatch, Emma Stone"
Eternal Memory,1985,6.9,Thriller,Sofia Coppola,"Sandra Bullock, Scarlett Johansson, Samuel L. Jackson"
Fallen Garden Returns,1991,6.7,Drama,Guy Ritchie,"Keanu Reeves, Johnny Depp, Tom Hanks"
Fallen Game,2024,5.7,"Drama, Horror",Edgar Wright,"Natalie Portman, Michael B. Jordan, Amy Adams"
Electric Cipher,1998,8.2,Adventure,Ridley Scott,"Jessica Chastain, Scarlett Johansson, Timothee Chalamet"
Scarlet Chronicle Awakens,2002,8.4,Comedy,Chloe Zhao,"Oscar Isaac, Amy Adams, Johnny Depp"
Broken Promise at Dawn,1997,6.1,"Action, Crime, Sci-Fi",David Fincher,"Benedict Cumberbatch, Jennifer Lawrence, Scarlett Johansson"
Wicked Legacy,1985,6.9,"Animation, Drama",Patty Jenkins,"Samuel L. Jackson, Sandra Bullock, Timothee Chalamet"
Neon Signal,1989,5.2,Romance,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Natalie Portman"
Last Voyage,2025,6.2,"Adventure, Fantasy, Thriller",Jordan Peele,"Florence Pugh, Oscar Isaac, Tom Hanks"
Shattered Storm,1998,8.7,"Drama, Mystery",Patty Jenkins,"Timothee Chalamet, Michael B. Jordan, Jessica Chastain"
Dark Promise,2000,7.0,Comedy,Martin Scorsese,"Viola Davis, Ryan Gosling, Scarlett Johansson"
Wicked Code of the Stars,1996,5.7,Action,Ava DuVernay,"Tom Hanks, Jake Gyllenhaal, Leonardo DiCaprio"
Scarlet Memory,2001,8.2,"Animation, Drama",Edgar Wright,"Jessica Chastain, Samuel L. Jackson, Robert Downey Jr."
Lost Dream Forever,2018,7.2,Crime,Ava DuVernay,"Timothee Chalamet, Michael B. Jordan, Emma Stone"
Dust Echo in Exile,1995,8.0,"Animation, Crime",Guillermo del Toro,"Scarlett Johansson, Keanu Reeves, Timothee Chalamet"
Lost Shadow,1985,6.7,Action,David Fincher,"Brad Pitt, Benedict Cumberbatch, Christian Bale"
Rising Signal,1987,6.2,"Comedy, Drama, Thriller",Bong Joon-ho,"Viola Davis, Amy Adams, Anne Hathaway"
Dark Orbit of the Stars,1988,7.0,"Comedy, Mystery",Steven Spielberg,"Jennifer Lawrence, Emma Stone, Keanu Reeves"
Silver Promise of Tomorrow,1985,7.7,"Comedy, Crime",Sam Mendes,"Matt Damon, Johnny Depp, Amy Adams"
Invisible Echo,2016,5.0,"Mystery, Thriller",Guillermo del Toro,"Matt Damon, Chris Hemsworth, Tom Hanks"
Electric Dream of the Stars,1985,5.5,"Action, Sci-Fi",Patty Jenkins,"Samuel L. Jackson, Amy Adams, Johnny Depp"
Glass Hunter,1994,6.8,"Action, Adventure",David Fincher,"Keanu Reeves, Samuel L. Jackson, Zendaya"
Wild Witness,1990,5.3,Mystery,Ridley Scott,"Michael B. Jordan, Sandra Bullock, Jennifer Lawrence"
Royal Code Awakens,2003,6.4,"Drama, Fantasy",Ava DuVernay,"Sandra Bullock, Amy Adams, Anne Hathaway"
Iron Shadow Reborn,2022,6.8,Animation,Quentin Tarantino,"Morgan Freeman, Margot Robbie, Anne Hathaway"
Neon Trial,1998,8.0,"Crime, Horror, Thriller",Quentin Tarantino,"Emma Stone, Morgan Freeman, Matt Damon"
Wicked Journey Beyond,1994,5.2,Thriller,David Fincher,"Christian Bale, Jennifer Lawrence, Zendaya"
Shattered Mirror,1996,5.4,Fantasy,Taika Waititi,"Florence Pugh, Amy Adams, Chris Hemsworth"
Crimson Heart,1999,7.6,"Comedy, Fantasy",Guy Ritchie,"Gal Gadot, Michael B. Jordan, Emma Stone"
Velvet Legacy Awakens,2013,9.1,"Adventure, Drama",Quentin Tarantino,"Brad Pitt, Margot Robbie, Morgan Freeman"
Blue Voyage,2009,5.7,"Animation, Comedy, Drama",Denis Villeneuve,"Robert Downey Jr., Margot Robbie, Keanu Reeves"
Hollow Cipher,2003,5.6,"Fantasy, Horror, Mystery",Steven Spielberg,"Emma Stone, Robert Downey Jr., Jennifer Lawrence"
Frozen Memory at Dawn,1986,9.0,"Drama, Horror, Thriller",Chloe Zhao,"Matt Damon, Benedict Cumberbatch, Christian Bale"
Dust Season,2005,6.6,"Action, Crime",Steven Spielberg,"Matt Damon, Benedict Cumberbatch, Zendaya"
Restless Shadow,1991,9.0,"Comedy, Sci-Fi",Peter Jackson,"Florence Pugh, Sandra Bullock, Matt Damon"
Last Shadow,2009,8.2,"Animation, Thriller",David Fincher,"Timothee Chalamet, Anne Hathaway, Matt Damon"
Scarlet Destiny Beyond,2021,7.2,"Comedy, Romance",Wes Anderson,"Florence Pugh, Johnny Depp, Morgan Freeman"
Golden Code,2018,8.2,"Action, Drama, Romance",James Cameron,"Matt Damon, Tom Hanks, Anne Hathaway"
Ancient Code of Fire,1994,9.1,Mystery,Guy Ritchie,"Emma Stone, Christian Bale, Jake Gyllenhaal"
Final Destiny Beyond,1993,5.8,"Fantasy, Thriller",Jordan Peele,"Benedict Cumberbatch, Michael B. Jordan, Anne Hathaway"
Forgotten Cipher,1999,5.8,"Crime, Fantasy",Edgar Wright,"Jake Gyllenhaal, Johnny Depp, Tom Hanks"
Silent Orbit in Exile,1987,5.5,"Drama, Romance",Damien Chazelle,"Chris Hemsworth, Michael B. Jordan, Timothee Chalamet"
Storm Game Awakens,2007,7.8,"Animation, Sci-Fi",Martin Scorsese,"Sandra Bullock, Jake Gyllenhaal, Gal Gadot"
Lonely Island Awakens,1989,6.9,"Adventure, Crime",Edgar Wright,"Leonardo DiCaprio, Brad Pitt, Jennifer Lawrence"
Electric Kingdom,2016,8.8,"Drama, Fantasy, Mystery",Quentin Tarantino,"Sandra Bullock, Benedict Cumberbatch, Matt Damon"
Eternal Kingdom,1987,5.7,"Action, Drama",Peter Jackson,"Scarlett Johansson, Emma Stone, Anne Hathaway"
Sacred Kingdom,2020,8.1,Drama,Damien Chazelle,"Oscar Isaac, Keanu Reeves, Benedict Cumberbatch"
Blue Kingdom,2012,7.4,"Action, Adventure",Sofia Coppola,"Natalie Portman, Ryan Gosling, Jake Gyllenhaal"
Neon Mirror,2004,7.2,"Action, Adventure",Patty Jenkins,"Timothee Chalamet, Florence Pugh, Sandra Bullock"
Last Echo Forever,2025,9.3,"Action, Adventure, Comedy",James Cameron,"Morgan Freeman, Michael B. Jordan, Johnny Depp"
Radiant Sky of Tomorrow,2016,8.9,"Adventure, Sci-Fi",Chloe Zhao,"Jennifer Lawrence, Morgan Freeman, Christian Bale"
Wild Signal of Tomorrow,2014,8.1,"Comedy, Crime",Sam Mendes,"Brad Pitt, Tom Hanks, Jessica Chastain"
Crimson Storm,2019,6.8,"Comedy, Mystery, Romance",Steven Spielberg,"Sandra Bullock, Jennifer Lawrence, Zendaya"
Neon Garden,2000,9.0,"Adventure, Crime, Fantasy",Ava DuVernay,"Brad Pitt, Zendaya, Timothee Chalamet"
Royal Cipher of Tomorrow,1996,9.3,"Comedy, Thriller",Ridley Scott,"Brad Pitt, Ryan Gosling, Emma Stone"
Blue Flame,2025,5.3,"Crime, Romance",Sofia Coppola,"Viola Davis, Amy Adams, Matt Damon"
Sacred Fortress Zero,2002,6.8,"Action, Romance, Sci-Fi",Kathryn Bigelow,"Matt Damon, Ryan Gosling, Scarlett Johansson"
Rising Orbit,1991,8.8,Romance,Guillermo del Toro,"Scarlett Johansson, Matt Damon, Johnny Depp"
Scarlet Frontier of Tomorrow,2021,8.1,"Action, Animation, Crime",Patty Jenkins,"Tom Hanks, Oscar Isaac, Gal Gadot"
Hidden Voyage,2006,6.5,"Action, Horror",Peter Jackson,"Keanu Reeves, Christian Bale, Leonardo DiCaprio"
Shattered Promise Zero,1991,6.4,"Animation, Crime",Edgar Wright,"Margot Robbie, Jessica Chastain, Sandra Bullock"
Electric Awakening,1997,8.6,"Comedy, Fantasy, Horror",Guillermo del Toro,"Zendaya, Samuel L. Jackson, Christian Bale"
Dust Kingdom at Dawn,2010,8.7,"Mystery, Romance",Christopher Nolan,"Morgan Freeman, Natalie Portman, Keanu Reeves"
Last Hunter,2008,9.1,"Crime, Drama",Taika Waititi,"Zendaya, Jennifer Lawrence, Michael B. Jordan"
Broken Hunter of Tomorrow,1996,6.1,"Drama, Mystery, Romance",Guy Ritchie,"Morgan Freeman, Sandra Bullock, Keanu Reeves"
Golden Odyssey,1995,7.9,"Comedy, Sci-Fi",David Fincher,"Gal Gadot, Natalie Portman, Robert Downey Jr."
Dust Dream,1985,6.1,"Animation, Sci-Fi, Thriller",Damien Chazelle,"Matt Damon, Leonardo DiCaprio, Chris Hemsworth"
Shattered Machine Zero,2007,7.7,"Comedy, Crime, Horror",Greta Gerwig,"Gal Gadot, Zendaya, Sandra Bullock"
Restless River Zero,2008,9.3,"Crime, Sci-Fi",Quentin Tarantino,"Benedict Cumberbatch, Emma Stone, Anne Hathaway"
Ancient Machine Rise,2004,8.5,"Animation, Mystery",Guillermo del Toro,"Chris Hemsworth, Keanu Reeves, Brad Pitt"
Wicked Voyage,1993,6.8,Sci-Fi,Wes Anderson,"Johnny Depp, Robert Downey Jr., Viola Davis"
Sacred Journey,2021,7.1,"Comedy, Drama",Rian Johnson,"Florence Pugh, Michael B. Jordan, Matt Damon"
Scarlet Pulse Zero,2020,8.2,"Adventure, Crime",Wes Anderson,"Tom Hanks, Amy Adams, Robert Downey Jr."
Forgotten Signal,2006,6.4,Comedy,Guy Ritchie,"Chris Hemsworth, Amy Adams, Samuel L. Jackson"
Lonely Echo of Tomorrow,1992,8.9,"Action, Romance, Sci-Fi",Sam Mendes,"Oscar Isaac, Emma Stone, Benedict Cumberbatch"
Dust Sky,2009,6.8,"Action, Fantasy",Ridley Scott,"Tom Hanks, Natalie Portman, Anne Hathaway"
Royal Witness of Fire,1996,7.8,Horror,Sofia Coppola,"Michael B. Jordan, Morgan Freeman, Anne Hathaway"
Silent Island of Shadows,1995,6.9,"Adventure, Horror",Ridley Scott,"Oscar Isaac, Ryan Gosling, Michael B. Jordan"
Blue Garden,2019,8.7,"Drama, Thriller",Christopher Nolan,"Keanu Reeves, Anne Hathaway, Jessica Chastain"
Frozen Dream,2025,7.2,"Comedy, Drama",Greta Gerwig,"Tom Hanks, Scarlett Johansson, Jennifer Lawrence"
Shattered Kingdom,2004,8.9,"Horror, Mystery",Damien Chazelle,"Zendaya, Anne Hathaway, Ryan Gosling"
Fallen City,2016,9.3,"Animation, Comedy",Patty Jenkins,"Leonardo DiCaprio, Chris Hemsworth, Amy Adams"
Secret Dream,1995,6.7,Drama,Ava DuVernay,"Michael B. Jordan, Matt Damon, Brad Pitt"
Velvet Night,2023,5.2,Sci-Fi,Quentin Tarantino,"Michael B. Jordan, Sandra Bullock, Leonardo DiCaprio"
Lost Frontier at Dawn,2001,6.3,"Animation, Comedy, Thriller",Ava DuVernay,"Gal Gadot, Michael B. Jordan, Leonardo DiCaprio"
Crimson Memory of Fire,1993,5.5,"Adventure, Mystery, Romance",Quentin Tarantino,"Johnny Depp, Scarlett Johansson, Matt Damon"
Frozen Awakening Zero,2018,7.2,"Drama, Fantasy",Greta Gerwig,"Morgan Freeman, Brad Pitt, Florence Pugh"
Secret Garden,1985,9.2,Adventure,Sam Mendes,"Gal Gadot, Benedict Cumberbatch, Tom Hanks"
Dust Legacy,1991,5.2,"Comedy, Sci-Fi",Taika Waititi,"Johnny Depp, Robert Downey Jr., Margot Robbie"
Burning Journey,2008,5.2,"Adventure, Fantasy",Quentin Tarantino,"Samuel L. Jackson, Jessica Chastain, Keanu Reeves"
Fallen Kingdom of Tomorrow,2024,5.5,"Adventure, Thriller",Guy Ritchie,"Sandra Bullock, Anne Hathaway, Morgan Freeman"
Final Witness of Fire,2015,9.3,"Adventure, Animation, Sci-Fi",Ridley Scott,"Jake Gyllenhaal, Amy Adams, Brad Pitt"
Shadow River of Tomorrow,2021,8.8,"Animation, Fantasy, Romance",Guillermo del Toro,"Christian Bale, Oscar Isaac, Leonardo DiCaprio"
Fallen Garden,1992,8.1,"Action, Adventure, Horror",Peter Jackson,"Michael B. Jordan, Anne Hathaway, Leonardo DiCaprio"
Glass Orbit,1999,6.9,"Mystery, Thriller",Ava DuVernay,"Jake Gyllenhaal, Oscar Isaac, Scarlett Johansson"
Midnight Garden of the Stars,2009,5.7,"Mystery, Romance",Steven Spielberg,"Leonardo DiCaprio, Michael B. Jordan, Viola Davis"
Radiant Phoenix,1989,7.4,"Comedy, Drama, Thriller",Peter Jackson,"Brad Pitt, Zendaya, Chris Hemsworth"
Sacred Voyage,1990,6.4,"Horror, Romance, Thriller",Martin Scorsese,"Samuel L. Jackson, Benedict Cumberbatch, Margot Robbie"
Storm Dream,2020,8.9,Adventure,Damien Chazelle,"Oscar Isaac, Michael B. Jordan, Johnny Depp"
Forgotten Truth,2014,7.5,"Action, Drama",David Fincher,"Samuel L. Jackson, Margot Robbie, Anne Hathaway"
Hollow Awakening,2008,7.8,"Adventure, Comedy, Thriller",Christopher Nolan,"Anne Hathaway, Christian Bale, Sandra Bullock"
Silver Fortress,1991,8.3,Animation,Wes Anderson,"Tom Hanks, Sandra Bullock, Jake Gyllenhaal"
Electric River Awakens,1992,6.8,"Comedy, Horror, Thriller",Ava DuVernay,"Anne Hathaway, Scarlett Johansson, Jessica Chastain"
Restless Sky,2013,8.2,"Mystery, Romance, Sci-Fi",Ridley Scott,"Benedict Cumberbatch, Leonardo DiCaprio, Zendaya"
Forgotten Chronicle,2015,5.5,"Romance, Thriller",Denis Villeneuve,"Amy Adams, Sandra Bullock, Tom Hanks"
Wicked Awakening,2017,7.0,"Comedy, Fantasy, Romance",Peter Jackson,"Jennifer Lawrence, Anne Hathaway, Johnny Depp"
Fallen Heart Rise,2017,7.4,"Mystery, Thriller",Sofia Coppola,"Jake Gyllenhaal, Amy Adams, Viola Davis"
Secret Flame Forever,2007,7.8,"Sci-Fi, Thriller",Denis Villeneuve,"Zendaya, Florence Pugh, Jake Gyllenhaal"
Lost Trial,2022,5.5,"Crime, Mystery, Sci-Fi",Bong Joon-ho,"Matt Damon, Leonardo DiCaprio, Zendaya"
Sacred Game,1997,5.3,"Animation, Crime",Rian Johnson,"Robert Downey Jr., Tom Hanks, Sandra Bullock"
Silver Truth,1987,7.5,"Adventure, Horror",Damien Chazelle,"Samuel L. Jackson, Gal Gadot, Amy Adams"
Eternal Fortress of Shadows,2003,6.4,Fantasy,Patty Jenkins,"Ryan Gosling, Matt Damon, Gal Gadot"
Forgotten Code Awakens,2024,7.7,"Comedy, Drama, Sci-Fi",Guillermo del Toro,"Timothee Chalamet, Florence Pugh, Amy Adams"
Frozen Odyssey Returns,1996,6.2,"Mystery, Thriller",Quentin Tarantino,"Jennifer Lawrence, Brad Pitt, Ryan Gosling"
Velvet Heart Forever,1985,7.6,"Animation, Horror",Steven Spielberg,"Tom Hanks, Viola Davis, Anne Hathaway"
Hollow Promise,2021,5.3,"Adventure, Drama",Kathryn Bigelow,"Chris Hemsworth, Morgan Freeman, Zendaya"
Dust Kingdom Unbound,1990,6.0,"Comedy, Thriller",Rian Johnson,"Anne Hathaway, Christian Bale, Johnny Depp"
Hollow Memory,2020,9.0,Adventure,Rian Johnson,"Christian Bale, Margot Robbie, Chris Hemsworth"
Hollow Cipher,2005,9.0,"Adventure, Crime, Fantasy",Chloe Zhao,"Amy Adams, Johnny Depp, Leonardo DiCaprio"
Wild Pulse,2013,5.7,"Action, Comedy, Crime",Sofia Coppola,"Zendaya, Emma Stone, Scarlett Johansson"
Neon Night Awakens,2025,8.1,"Fantasy, Sci-Fi",Quentin Tarantino,"Natalie Portman, Florence Pugh, Sandra Bullock"
Blue Legacy,1994,5.3,Horror,Ava DuVernay,"Anne Hathaway, Brad Pitt, Emma Stone"
Burning Mirror,2021,6.9,"Crime, Fantasy",Patty Jenkins,"Margot Robbie, Michael B. Jordan, Jennifer Lawrence"
Broken Labyrinth,2019,8.3,Sci-Fi,Edgar Wright,"Oscar Isaac, Emma Stone, Jessica Chastain"
Hidden Legacy Returns,2003,6.7,"Adventure, Romance",Greta Gerwig,"Jessica Chastain, Viola Davis, Margot Robbie"
Broken Garden Reborn,2010,9.2,"Animation, Sci-Fi",Greta Gerwig,"Gal Gadot, Keanu Reeves, Viola Davis"
Wild Empire,2020,7.4,"Action, Adventure",Christopher Nolan,"Timothee Chalamet, Oscar Isaac, Jennifer Lawrence"
Golden Promise Rise,2007,7.7,"Fantasy, Sci-Fi",Kathryn Bigelow,"Tom Hanks, Morgan Freeman, Chris Hemsworth"
Velvet Flame of Shadows,2021,6.3,Mystery,Taika Waititi,"Michael B. Jordan, Florence Pugh, Emma Stone"
Dark Mirror in Exile,2016,6.3,"Animation, Drama",Rian Johnson,"Michael B. Jordan, Chris Hemsworth, Scarlett Johansson"
Dark Flame Beyond,2024,6.4,"Romance, Thriller",Ridley Scott,"Timothee Chalamet, Christian Bale, Matt Damon"
Blue Kingdom of Shadows,1999,7.1,"Animation, Crime, Drama",Rian Johnson,"Amy Adams, Anne Hathaway, Keanu Reeves"
Red Trial,2016,6.2,Animation,Jordan Peele,"Oscar Isaac, Emma Stone, Sandra Bullock"
Fallen Night Rise,2025,7.2,Thriller,Martin Scorsese,"Keanu Reeves, Leonardo DiCaprio, Samuel L. Jackson"
Broken Destiny,2022,7.9,"Action, Mystery",Peter Jackson,"Florence Pugh, Keanu Reeves, Benedict Cumberbatch"
Rising Echo of Shadows,2022,6.6,"Animation, Horror",Kathryn Bigelow,"Zendaya, Emma Stone, Jennifer Lawrence"
Silent Hunter,2024,8.8,"Animation, Mystery",Taika Waititi,"Morgan Freeman, Timothee Chalamet, Gal Gadot"
Rising Garden,1987,5.2,"Comedy, Horror",Martin Scorsese,"Robert Downey Jr., Christian Bale, Chris Hemsworth"
Secret Memory,2008,8.1,"Action, Horror, Thriller",Steven Spielberg,"Michael B. Jordan, Anne Hathaway, Scarlett Johansson"
Glass Machine,2001,9.0,"Fantasy, Sci-Fi",Patty Jenkins,"Christian Bale, Timothee Chalamet, Michael B. Jordan"
Dark Memory Awakens,2018,7.2,"Drama, Horror, Thriller",Wes Anderson,"Keanu Reeves, Oscar Isaac, Leonardo DiCaprio"
Fallen Island at Dawn,2002,8.6,"Animation, Thriller",Denis Villeneuve,"Christian Bale, Oscar Isaac, Jake Gyllenhaal"
Eternal Frontier,1992,8.7,"Horror, Sci-Fi, Thriller",James Cameron,"Timothee Chalamet, Morgan Freeman, Michael B. Jordan"
Broken Hunter in Exile,1995,5.2,"Mystery, Sci-Fi",Steven Spielberg,"Keanu Reeves, Timothee Chalamet, Tom Hanks"
Velvet Signal,2010,9.2,Thriller,Edgar Wright,"Gal Gadot, Sandra Bullock, Johnny Depp"
Secret Island,2015,8.6,"Animation, Comedy, Fantasy",Damien Chazelle,"Tom Hanks, Matt Damon, Timothee Chalamet"
Burning Cipher,2001,7.6,"Sci-Fi, Thriller",Sofia Coppola,"Viola Davis, Margot Robbie, Oscar Isaac"
Eternal Labyrinth,1997,7.6,"Adventure, Animation, Romance",Denis Villeneuve,"Benedict Cumberbatch, Keanu Reeves, Oscar Isaac"
Neon Pulse,1990,9.1,"Animation, Romance, Sci-Fi",Chloe Zhao,"Sandra Bullock, Leonardo DiCaprio, Keanu Reeves"
Blue Memory,2018,9.0,"Comedy, Fantasy, Horror",Guy Ritchie,"Timothee Chalamet, Matt Damon, Amy Adams"
Royal River of Tomorrow,1999,6.1,Crime,Damien Chazelle,"Keanu Reeves, Florence Pugh, Ryan Gosling"
Silent Empire,1992,6.4,Fantasy,Jordan Peele,"Natalie Portman, Jake Gyllenhaal, Matt Damon"
Wild River in Exile,2001,9.4,"Fantasy, Mystery",Sam Mendes,"Christian Bale, Oscar Isaac, Robert Downey Jr."
Final Truth at Dawn,2015,7.5,"Drama, Mystery",Chloe Zhao,"Benedict Cumberbatch, Robert Downey Jr., Johnny Depp"
Final Heart,1992,8.5,"Animation, Horror",Quentin Tarantino,"Natalie Portman, Zendaya, Jennifer Lawrence"
Forgotten Cipher,1988,5.6,"Fantasy, Sci-Fi",Christopher Nolan,"Matt Damon, Emma Stone, Sandra Bullock"
Wicked Chronicle Awakens,2008,9.3,Romance,Steven Spielberg,"Amy Adams, Jennifer Lawrence, Viola Davis"
Hollow Memory,1996,6.3,"Action, Comedy, Horror",Rian Johnson,"Viola Davis, Matt Damon, Zendaya"
Hidden Awakening,1999,9.3,"Action, Sci-Fi",Guy Ritchie,"Chris Hemsworth, Michael B. Jordan, Leonardo DiCaprio"
Golden Machine,2007,5.3,"Comedy, Fantasy, Romance",Kathryn Bigelow,"Leonardo DiCaprio, Amy Adams, Jake Gyllenhaal"
Golden Fortress at Dawn,2022,9.1,"Crime, Drama",David Fincher,"Oscar Isaac, Natalie Portman, Margot Robbie"
